"abany","abpoor","age","attend","bigbang","cappun","childs","class","closeblk","degree","educ","evolved","fear","fechld","fefam","getahead","gunlaw","happy","hrs1","income06","letdie1","letin1","marhomo","marital","news","obey","paeduc","parsol","partnrs5","pillok","polviews","postlife","pray","premarsx","PRES08","racecen1","rank","relig","region","satjob","sex","sexfreq","spanking","SPKMSLM","thnkself","trust","tvhours","wwwhr","xmarsex"
1,1,49,0,1,1,1,3,5,4,20,1,1,,,1,1,2,40,24,,,2,3,,5,16,1,5,,3,2,6,,1,4,3,4,2,1,2,3,,1,1,1,,,1
,,64,0,1,1,0,3,,1,12,1,,3,3,,,2,50,18,1,2,,5,4,5,,2,1,1,2,,6,4,,1,3,4,2,1,2,4,3,,1,,2,1,
1,2,30,0,,2,0,2,9,4,19,,2,,,1,1,1,40,,,,2,1,,3,15,2,9,,4,2,6,,,1,3,1,2,2,2,,,2,4,2,,,1
,,28,0,,,0,2,8,3,17,,2,2,4,2,1,,40,21,,3,3,5,2,,12,,,2,2,1,1,3,1,2,3,4,2,1,2,,1,2,,,4,10,1
1,2,84,7,,1,2,3,5,1,13,,1,,,3,1,1,,,,,2,2,,4,,1,0,,4,1,1,,2,1,6,2,2,,1,,,1,3,1,,,1
,,32,8,2,2,2,2,,1,14,2,,4,1,,,1,60,11,2,5,,1,3,1,,1,,4,6,1,1,1,,5,1,1,2,2,1,,1,,4,2,5,0,
1,1,34,2,,2,0,2,5,3,20,,2,3,4,1,1,2,40,19,1,3,2,5,2,,12,,2,2,4,1,2,4,,2,5,4,2,2,2,5,2,2,,,4,0,1
,,33,0,,2,1,1,,4,16,,,2,3,,,1,7,14,1,,,1,5,4,12,2,1,2,1,,6,4,,4,10,4,2,1,2,5,3,,3,1,0,0,
2,,48,7,,1,2,1,8,1,12,,1,3,,2,1,2,,13,1,5,2,4,1,,16,,1,1,2,,4,4,1,1,5,2,2,2,2,2,1,2,,,1,15,1
,,52,0,1,1,3,1,,0,10,1,,3,3,,,2,,15,2,5,,3,4,2,,2,1,2,2,1,2,1,,2,4,2,2,1,2,1,2,,3,2,10,,
1,1,54,3,1,1,2,3,5,3,16,1,2,,,2,1,1,50,25,,,3,1,,4,16,2,1,,4,1,1,,,1,5,3,2,2,1,,,1,1,2,,,
1,1,19,4,,2,0,3,8,1,13,,2,3,3,1,1,2,,,1,3,1,5,4,,12,,0,3,4,,2,4,,4,5,5,2,,2,,3,1,,,2,5,2
1,1,41,4,,2,0,3,7,3,16,,2,2,2,1,1,1,35,21,2,3,2,3,5,,16,,9,1,4,1,1,4,,4,2,4,2,1,1,4,1,2,,,1,20,3
,,51,8,2,1,2,2,,1,12,2,,2,2,,,3,,25,1,2,,3,3,2,12,2,0,1,6,1,1,1,1,1,5,5,2,,1,,2,,4,2,2,1,
